,text_lower
25,"b'@vinialovell hi vinia, sorry for the delay in my reply and for the wait to speak with us. we have less staff answer\xe2\x80\xa6 https://t.co/pwxqnpwpex'"
26,"b""@rickbalbert that's great to hear rick, if you need anything else please let us know. lisa"""
27,"b'@thom41686633 hi there, thom. sorry for the delay getting back to you. we are responding to messages but the team a\xe2\x80\xa6 https://t.co/q5orgnuejr'"
28,"b'@notmewhome thank you, we appreciate it :) kristos'"
29,"b""@fergzlfc hi, fergz. thanks for getting in touch. we replied to your dm 5 days ago, let me know if you're unable to\xe2\x80\xa6 https://t.co/uojkjidnlt"""
30,"b'@d_biggsy hi there, daniel. sorry for the delay getting back to you. when did you arrange the transfer? kristos'"
31,"b""@rickbalbert hey rick, can i check if this is a uk barclaycard you're needing to speak with us about? lisa"""
32,"b""@mymanor hi there, sorry for the delay. i've just replied to your other post, so please check there. kristos"""
33,"b'@mymanor hi there, sorry for the delay getting back to you. the lines are very busy due to the global pandemic. wha\xe2\x80\xa6 https://t.co/7wohqcpztz'"
34,"b""@jaaaao49 hey jess, sorry to hear that. if you can let me know the reason for your call i'll try and help or point\xe2\x80\xa6 https://t.co/io87q45gl8"""
35,"b""@chrislane1313 ah that's brilliant chris - i'm so glad to hear it's all sorted! give us a shout if there's anything\xe2\x80\xa6 https://t.co/kvrb1m4416"""
36,"b'@girlmostlik3ly hi there, sophie. if you haven\xe2\x80\x99t heard from us yet about your payment holiday \xe2\x80\x93 we\xe2\x80\x99re sorry in some\xe2\x80\xa6 https://t.co/9pbntyx1kz'"
37,"b'@ryanhawkes hi ryan, we have no plans to support google pay or android pay, as we have our own platform. that platf\xe2\x80\xa6 https://t.co/1f1rz1mkci'"
38,"b'@thereaper08 hey simon, at the moment the team are extremely short staffed due to the global situation. this is mak\xe2\x80\xa6 https://t.co/fn6ezdnezx'"
39,b'@philipdegg thanks for letting us know and sorry for the wait times you have been experiencing.  -ross'
40,"b""@steveeastbury hi steve, with the global situation, we're busier than usual and some teams aren't in the office. we\xe2\x80\xa6 https://t.co/x6g4ety4pi"""
41,"b""@s1dahmed hi sid, sorry for the delay in my reply and for the wait to speak with us over the phone. i'd like to loo\xe2\x80\xa6 https://t.co/c9bjtesvhd"""
42,"b""@sophiebird5 ah sorry, i've sent a link to dm below: -kev https://t.co/mpqb4etryv"""
43,"b'@longs1981 hi stuart, sorry for the delay in my reply and for the wait to speak with us over the phone. i am sorry\xe2\x80\xa6 https://t.co/rgy7e4qmbl'"
44,b'@polsterh hi polly. sorry for the delay. is this on both the website and the app or one in particular? can you dm m\xe2\x80\xa6 https://t.co/xx7cacd87p'
45,b'rt @barclaysuk: thank you to everyone who joined us in supporting and donating to #thebignightinappeal. through your generosity we\xe2\x80\x99ve helpe\xe2\x80\xa6'
46,"b'@fran_new ah great news. if you do need anything else, please let us know. nicola'"
47,"b'@leerams99712941 in the meantime, if you\xe2\x80\x99ve missed a payment in either march or april, (or if you\xe2\x80\x99re worried that y\xe2\x80\xa6 https://t.co/c6ebopyxym'"
48,"b""@leerams99712941 hi lee. i'm sorry for the delay in getting back to you. we're experiencing high demand across all\xe2\x80\xa6 https://t.co/cmu1m9xf3f"""
49,"b'@tavish_86 thanks, just send us a dm when you can and we can discuss it a little further. nicola https://t.co/mpqb4etryv'"
50,b'@katiewi76089189 hi katie. if you need to access a business credit card account then it will be best to have a work\xe2\x80\xa6 https://t.co/1ymiwh30pv'
51,"b""@notmewhome ah great news, so it does sound like it's been actioned. have you received any emails at all? nicola"""
52,"b""@rob33701727 hi rob. i'm sorry for the delay in our reply. so that we can try some troubleshooting steps with you,\xe2\x80\xa6 https://t.co/ueeh35xira"""
53,"b'@marren80 hi there, thanks for waiting. to save you hanging on to speak to someone, you can also dispute a transact\xe2\x80\xa6 https://t.co/dodnykgqqp'"
54,"b'@lizmead867 glad to hear it. if you have any questions in the meantime, just shout up here. nicola'"
55,"b'if you\xe2\x80\x99re worried your income is being impacted by coronavirus, we want to help and are now offering a 90-day payme\xe2\x80\xa6 https://t.co/p1qdkbaqg0'"
56,b'@vanessoula83 @owennandrews hi vanessa. sorry for the delay in our reply. did you manage to speak to anyone? if not\xe2\x80\xa6 https://t.co/lygrtzheg9'
57,"b""@elained32375493 hi elaine, i'm very sorry for the disruption to our normal service. with the unprecedented number\xe2\x80\xa6 https://t.co/b2m9chr4rf"""
58,"b'@studunmow hi stuart, our staff are working as quickly as possible to get through the extremely high number of mess\xe2\x80\xa6 https://t.co/pdmeqchau0'"
59,"b'@seppy79 sorry to hear this simon, did you manage to get this sorted? usually with fraud cases the team send you a\xe2\x80\xa6 https://t.co/wm0jgecsco'"
60,"b""@lottynew hi loreta. sorry for the delay in our reply. we do have staff working, but we're receiving a high volume\xe2\x80\xa6 https://t.co/tvdfh1ggtb"""
61,"b""@mikeyreynolds01 can i check if this is a business card or personal? you'll need to speak to my colleagues\xe2\x80\xa6 https://t.co/dqlfsd24zi"""
62,b'@vanessamollynz hi vanessa. sorry for the delay in our reply. can you tell me a little more about what you need hel\xe2\x80\xa6 https://t.co/rcivkdiuur'
63,"b'@chopefoster apologies catherine, has this been sorted now at all? if not please dm me so we can look into this for\xe2\x80\xa6 https://t.co/pfth8xskhn'"
64,"b""@miss_masaya if you would like to explain your query a little further, please feel free to come in to dm and we'll\xe2\x80\xa6 https://t.co/fog7qemodw"""
65,"b""@amcshane123 ah you'd need to give the team a call on 0800 152 2888 (mon-fri 9am-6pm &amp; sat 9am-5pm) to check this a\xe2\x80\xa6 https://t.co/uyfwkcfzen"""
66,"b""@jwp_media_group if you don't have access, it just takes a few minutes to set up. just pop across to\xe2\x80\xa6 https://t.co/s9fp8odzyy"""
67,"b""@jwp_media_group hi there. sorry for the delay in our reply. do you have access to the 'mybarclaycard' service onli\xe2\x80\xa6 https://t.co/n4sjmv9o0o"""
68,b'@markeldridge3 hi mark. sorry for this. did you manage to speak to someone? dm us if not. thanks. brendan https://t.co/mpqb4etryv'
69,b'@_weddingbelle sorry about that and for the delay getting to you. did you manage to speak to someone? just send me\xe2\x80\xa6 https://t.co/lo2rf6ymvl'
70,"b'@nicole_a_banks sorry for the delay getting to you nicole, did you manage to speak to someone? if not just send us\xe2\x80\xa6 https://t.co/uafmetbfn3'"
71,"b'@cfo19851 hi there, sorry for the delay. you can also dispute a transaction online right here:\xe2\x80\xa6 https://t.co/yrqizfmlxw'"
72,b'@gc20002000 hi glen ever so sorry for the long hold times and delay getting to you here. drop me a dm if you still\xe2\x80\xa6 https://t.co/6u2evgg4uk'
73,"b'@tommylowe1000 hi thomas. sorry for the delay. did you manage to speak to anyone? if not, can you tell me a little\xe2\x80\xa6 https://t.co/lzigx7lglb'"
74,"b""@samjopus hi sam. i'm sorry for your wait. did you manage to speak to anyone? if not, can you tell me exactly what\xe2\x80\xa6 https://t.co/dxyb6jdf5c"""
75,"b""@theoldavenport hi oliver, if you have access to our website you should be able to view your pin on there. i'm not\xe2\x80\xa6 https://t.co/tgxl52oa8f"""
76,"b'@janakd hi jd, sorry for the delay. you can now request that we transfer your credit balance back to your bank acco\xe2\x80\xa6 https://t.co/u0ei5ymhdm'"
77,"b'@emilyoflanagan ahh okay, you should hear back soon about the payment holiday then emily \xf0\x9f\x98\x8a dean.'"
78,"b'@miss_masaya hi there, sorry for the delay. did you manage to speak to someone? thanks. brendan'"
79,"b""@nazir_a_naji i've replied in a dm nazir as i have more characters to work with. thanks. brendan"""
80,"b'@johnclunge hi john, sorry for the delay. i  have replied to your other message to us. thanks. brendan'"
81,"b'@poppy_birdx hi there. sorry for your wait. did you manage to speak to anyone? if not, can you tell me a little mor\xe2\x80\xa6 https://t.co/gp6sdoxr4g'"
82,"b""@bishopfactory 2/2 i'll see what we can do to help. thanks. brendan 2/2 https://t.co/mpqb4etryv"""
83,"b""@bishopfactory hi max. sorry for the delay. we don't think it's acceptable but due to the fewer staff and high numb\xe2\x80\xa6 https://t.co/u6dvgudmsi"""
84,"b""@carinamac72 hi carina. so sorry for the delay. did you get through? if you didn't feel free to pop over to dm and\xe2\x80\xa6 https://t.co/zhd0odoh3o"""
85,"b""@joeferrett hi joe. if you want to pop over to dm by hitting the button below, we'll see what we can do \xf0\x9f\x91\x8c cheers, b\xe2\x80\xa6 https://t.co/qsafjq25uv"""
86,"b'@missjrozay hi. sorry for the hold up. did you manage to speak to the team? if not, head on over to dm on the butto\xe2\x80\xa6 https://t.co/h9qmowtspw'"
87,b'@lamb2ja you too james. stay safe. brendan'
88,"b'@geekdad412 sorry adam, we are barclaycard uk. it will be best to keep trying @askbarclaysus between monday to frid\xe2\x80\xa6 https://t.co/1yqne96dlb'"
89,"b""@emilyoflanagan we're not charging customers late payment fee's at the moment emily, when will you be able to pay? dean."""
90,"b""@shaunimctaggart we're dealing with so many disputes at the moment that we're taking a little bit longer than usual\xe2\x80\xa6 https://t.co/xsi8pvfsnq"""
91,"b""@loiner84 hey elizabeth, i'd like to try help with this. please pop over to dm so we can get this sorted, and stop\xe2\x80\xa6 https://t.co/lwxadl4ssr"""
92,"b'@johnkennedy44 that\xe2\x80\x99s really odd john. do you log into your emails through a app? if so, can you try the desk top v\xe2\x80\xa6 https://t.co/pcwyhplxpu'"
93,"b'@lovellylovell hi emma, thank you for your patience with us at the moment, we are a little busy right now but i am\xe2\x80\xa6 https://t.co/oqr8zjbzrh'"
94,"b'@tottenhosen hi kris, i noticed your tweet and like to see how we can help. can you dm and let me know if you paid\xe2\x80\xa6 https://t.co/4xtq9jickq'"
95,"b'@alrobjack hi alex, sorry for the delay in my reply and for the wait to speak with us on the phone. do you know you\xe2\x80\xa6 https://t.co/fhkzh1xkt0'"
96,"b'@lianne2024 hi lianne, i am really sorry for the wait to speak with us and for the delay in my reply too. can you d\xe2\x80\xa6 https://t.co/aiuwgppmyj'"
97,"b'@kater_x hello there, when did you send the forms back in the post?  ross'"
98,"b""@_c1amy hey amy, sorry to hear you're having issues with this online, what's going on when you try? feel free to po\xe2\x80\xa6 https://t.co/hvmg4tel3i"""
99,"b'@jamescooper_94 i am really sorry about this. the secure message service times out after 5 minutes, but you can cli\xe2\x80\xa6 https://t.co/im7e0mg5aa'"
100,"b'@garyslatter45 hi gary, sorry to hear you were a victim of fraud. glad to hear we were able to sort this out for you :) -kev'"
101,"b'@lelecardus hi leah, sorry for the delay in my reply and for the wait to speak with us over the phone. did you mana\xe2\x80\xa6 https://t.co/ithbf9yjww'"
102,"b""@mummalozza hey, thanks for reaching out lozza. i'm sorry to hear about your loss and i want to do everything i can\xe2\x80\xa6 https://t.co/yskn8jq2ni"""
103,"b""@beth65130001 hi beth, apologies about this. i've responded to your other tweet. -kev"""
104,"b""@evieaskew42 hey evie, thanks for getting in touch. this is certainly not the case and we're doing our utmost to su\xe2\x80\xa6 https://t.co/gobkndthaq"""
105,"b'@fiestaman87 could you let me know how the annual pass works? is it from september to july? if so, could i ask what\xe2\x80\xa6 https://t.co/kquyo560e6'"
106,"b""@mattygal hi matt. if you pop over to dm we'll help with this, it's a little long for a tweet. thanks, brendan"""
107,"b""@mrswhitters hi sue. if you pop over to dm we'll drop you a message as the advice on this one is a little larger th\xe2\x80\xa6 https://t.co/qt4l5gw1yh"""
108,"b""@lfcbull i'm so sorry but we can't raise a fraud dispute here on social media. if you try again tomorrow then hopef\xe2\x80\xa6 https://t.co/f16vgdbcdt"""
109,"b""@hosey_morgan i'll reply to your private message john. thanks, cass"""
110,"b""@randomjill hmm that is odd, can you come over to dm with your full name and post code please and we'll take a look\xe2\x80\xa6 https://t.co/12uhijdrqu"""
111,"b""@gemsactiderm i've just replied to your dm gemma. thanks nikki"""
112,"b""@nick_she89 hi nicholas, i'm not sure what that error means. are you sending a payment from a barclays account or p\xe2\x80\xa6 https://t.co/jviim9r5yp"""
113,"b'@callumjohn28 ah, are you able to make enough of a payment to keep you under your limit at all callum? thanks, cass'"
114,"b""@g_bonfiglio ah, sounds like he was a bit of a star giorgio. i'm not sure we can stretch to a statue but i'll absol\xe2\x80\xa6 https://t.co/brfb2a0zjf"""
115,"b'@amywade_xx hi amy. thanks for your message, if you are wishing to see if you can arrange a dispute you will find a\xe2\x80\xa6 https://t.co/obhht1yz3n'"
116,b'@tripc0de sorry michael. like andy said you would need to speak with customer services to arrange the balance trans\xe2\x80\xa6 https://t.co/u28tlkwcj9'
117,"b""@466gw hi there. i'm sorry about this, we do have team members taking calls each day between 8am -8pm on 0800 151 0\xe2\x80\xa6 https://t.co/kqjqulhdry"""
118,"b""@writtenmirror hi jay. i'm really sorry about this we are working as hard as we can to deal with the amount of quer\xe2\x80\xa6 https://t.co/86lr4tf2er"""
119,"b'@alex_iot hi alex, sorry for the delay, we are a little behind getting back to customers but we are getting there.\xe2\x80\xa6 https://t.co/xaexik1ube'"
120,b'rt @barclaysuk: the time is finally here\xe2\x80\xa6tune in on bbc one to watch #thebignightin at 7pm https://t.co/plsucwr7jt'
121,"b'@mspill01 thanks for letting me know, the team will get back to you as soon as they can. please let us know if you need anything else. lisa'"
122,"b""@paindiane @msnbc @cnn @foxnews @nerdwallet @credcardgenius hi diane, you've contacted barclaycard uk so we're not\xe2\x80\xa6 https://t.co/wak4qoaoao"""
123,"b""@paindiane hi diane, you've contacted barclaycard uk so we're not able to help with that. @askbarclaysus are availa\xe2\x80\xa6 https://t.co/z3wfaxst4k"""
124,"b""@carthyb what is it you need help with brendan? you can send us a dm if you'd prefer. sarah"""
125,"b""@johnsonator85 hi marc. i'm sorry that it's taken so long to come back to you we are working as hard as we can to c\xe2\x80\xa6 https://t.co/winf4maqaq"""
126,b'@ms_ogechiu good to know thanks for letting us know \xf0\x9f\x91\x8d brendan'
127,"b""@kirstymccoid hi kirsty, that's not great and i'm so sorry for the trouble getting through. if you can access your\xe2\x80\xa6 https://t.co/loo3yl22x7"""
128,"b""@beccajollyy hi becca, sorry for the delay in my reply. i noticed this and i am sorry you haven't heard back from u\xe2\x80\xa6 https://t.co/zte5kycfiv"""
129,"b""@6starranks hi there, so sorry you haven't heard back yet; i can appreciate the worry you'll have. the team are bus\xe2\x80\xa6 https://t.co/c2lj2ozcyl"""
130,"b""@booeybok no problem kate. thanks for you patience. please dm your father in law's name, post code and phone number\xe2\x80\xa6 https://t.co/datzlbswhl"""
131,"b""@kerbyemily hi emily. i'm sorry for the delay in our reply. how did you submit the dispute with us? nicola"""
132,"b'@dec_900 hi dec. sorry this is the case. we can check the status of this for you if you dm your name, post code and\xe2\x80\xa6 https://t.co/dy12zspxcj'"
133,"b'@aussieharj hi harj, so sorry that happened to you. have you managed to get sorted since? thanks, brendan'"
134,"b""@leah_reynoldsx hi leah, it sounds like you haven't been billed and already made a payment for the most recent stat\xe2\x80\xa6 https://t.co/iftoynqbhr"""
135,"b'@ms_ogechiu have you tried clearing your cache and cookies, closing the browser and trying again? thanks, brendan'"
136,"b'@ms_ogechiu hi ogechi. you can drop us a secure message by logging into barclaycard online services. once online, d\xe2\x80\xa6 https://t.co/mlfusbpiaw'"
137,"b'@jennie_eq hey jennie, could you come over to dm with your full name and post code please so that we can have a cha\xe2\x80\xa6 https://t.co/4nlh1nivan'"
138,"b""@neutronflow hi danny, i appreciate where you are coming from but currently these payment methods aren't on the roa\xe2\x80\xa6 https://t.co/4cuphpquno"""
139,"b""@macgregordude yes, sure. i've popped a dm link below. kristos https://t.co/mpqb4etryv"""
140,"b'@lfcbull hi there, oh no sorry to hear there has been fraud take place on your account. did you manage to speak wit\xe2\x80\xa6 https://t.co/wcpdj8yvd6'"
141,b'@fran_new hi fran. sorry for the delay. is this change for your personal credit card account? brendan'
142,"b""@rwb4590 hi ryan, i don't have an eta on that i'm afraid. can you dm me your post code and full name. we'll look in\xe2\x80\xa6 https://t.co/yfma5xzuqx"""
143,"b""@tim_waghorn hi tim, sorry for the delay in my reply and for the wait to speak with us over the phone. i've responded to your dm. -kev"""
144,b'@robbie_dazzler hi rob. sorry for the delay in our reply. we do have a few troubleshooting steps that you can try.\xe2\x80\xa6 https://t.co/dbpeunnuar'
145,"b""@stupreston hi stuart. sorry you can't get through, if you drop me a dm with your full name, postcode and contact n\xe2\x80\xa6 https://t.co/zf7h5l8hp5"""
146,"b""@horsfordcpa sorry my apologies, i've just noticed your location on your profile. you've reached out to barclaycard\xe2\x80\xa6 https://t.co/bqgnhzio9s"""
147,"b""@mattya5419 hi matty, sorry but we're the uk team and cannot help with that. @askbarclaysus are available 9am to 5p\xe2\x80\xa6 https://t.co/ud6q4mieap"""
148,"b""@horsfordcpa sorry i don't understand what you mean? if you have a balance on your card then you would need to pay\xe2\x80\xa6 https://t.co/j8u395ym3e"""
149,"b""@cliffcartwright our teams are working as hard as they can against all odds cliff. we appreciate the time it's taki\xe2\x80\xa6 https://t.co/b5th2vybiw"""
150,"b""@paulrhoughton hi paul, sorry to hear you've not heard back yet. did you process this online and have you had any c\xe2\x80\xa6 https://t.co/zqlop8pmiw"""
151,"b""@colloghi hi there. sorry you're having some issues making a payment to your barclaycard if you'd like me to take a\xe2\x80\xa6 https://t.co/klytdnpshm"""
152,"b""@tishtoshtee we can't access accounts for help via social media i'm afraid. the best thing to do would be to give t\xe2\x80\xa6 https://t.co/arxkuq9kpt"""
153,"b'@dsa0905 hi danielle, sorry for the delay in my reply and for the wait to speak with us over the phone. did you man\xe2\x80\xa6 https://t.co/jayovqxqrf'"
154,"b""@tavish_86 hiya andy, thanks for your patience! we'd keep the funds to one side until we could arrange to get them\xe2\x80\xa6 https://t.co/aswurv5jqo"""
155,b'@neilhector hi neil. sorry for the delay in our reply. we do have some troubleshooting steps that we can try with y\xe2\x80\xa6 https://t.co/1bgdmqslkj'
156,"b'@mp81safc no worries mark, take care and stay safe. thanks. dan.'"
157,"b""@chrislane1313 hi chris, thanks for waiting. i couldn't give you an estimate on this i'm afraid but i've seen some\xe2\x80\xa6 https://t.co/daq4vwpbrc"""
158,"b'@fiestaman87 hi stephen, thanks for your patience. do you mean that you want to get the remainder of the funds back\xe2\x80\xa6 https://t.co/5uy7flgjcl'"
159,"b'@jamescooper_94 ah apologies about this, could you try and clear the cache and cookies or try a different browser,\xe2\x80\xa6 https://t.co/0tpsbuj1eu'"
160,"b'@jennife09331885 hi jennifer. so sorry for the long hold times. to save you hanging on to speak to someone, you can\xe2\x80\xa6 https://t.co/rs9ungfox5'"
161,"b'@amandajacobs100 hi amanda, sorry for the delay in my reply. i can see my colleague has picked up your dm. let us k\xe2\x80\xa6 https://t.co/rn9neeeh5j'"
162,"b""@laurengxdfrey hi lauren, i've replied to your dm now. nic"""
163,"b""@archesukrob hey rob, thanks for your tweet. what were you trying to do? pop over to dm if you'd prefer. ashleigh https://t.co/mpqb4el2qt"""
164,"b""@nimmo_7 hi liam, we haven't stopped interest on credit cards. here's a link with info on how we're supporting our\xe2\x80\xa6 https://t.co/c03qyztjwv"""
165,"b""@michelle_ianson hello michelle, thanks for your message. when you say you've raised this with us, how was this rai\xe2\x80\xa6 https://t.co/d9abc8sby7"""
166,"b'@horsfordcpa hello there, thanks for your tweet. i appreciate this is frustrating but these are the only two ways t\xe2\x80\xa6 https://t.co/o3kq9ygzm9'"
167,"b""@mgrayso86353221 that's great news. i'm glad dean could help. \n\nstay safe. \nbrendan"""
168,b'@raymondphill hi raymond. sorry for the delay in our reply. could you pop over in to dm? we can discuss what you ne\xe2\x80\xa6 https://t.co/yj1xslrcwu'
169,"b""@owennandrews hi owen, our teams are in the office. i'll reply to your dm now. thanks nikki"""
170,"b""@oggieoi @tuiuk however, if you're unable to get a refund through those two methods, you can read about your protec\xe2\x80\xa6 https://t.co/rdzvyew5hs"""
171,"b""@oggieoi @tuiuk first thing, would be to ask tui for a refund. if they're unable to offer a refund, you'd then need\xe2\x80\xa6 https://t.co/lf6rplan3h"""
172,"b""@oggieoi @tuiuk hi oggy. sorry for the delay in our reply. although we know that cancellations are likely, we'd nee\xe2\x80\xa6 https://t.co/xl0e0mbg2h"""
173,"b""@notmewhome hi there, we do advise that it can take up to nine working days so hopefully you'll hear today or tomorrow. thanks, cass"""
174,"b'@darrenmannam1 hi darren, very sorry for the long hold times in relation to your online and app issues. if you dm l\xe2\x80\xa6 https://t.co/moihgsxlnp'"
175,"b""@burble61 aw thanks for your message. we think she's great too! i'll let her know \xf0\x9f\x98\x8a nicola"""
176,b'@14pricey14 hi there. we have a page dedicated to this to give you all the tools and information you need. please s\xe2\x80\xa6 https://t.co/sfbhfniwko'
177,"b'@lamb2ja hi james, \n\nsorry forgetting back to you late.\n\nyou can now request that we transfer your credit balance b\xe2\x80\xa6 https://t.co/7lpjxqeobh'"
178,"b'@gormleyb ah i see. so that i can run through run few troubleshooting steps with you, could you please pop over to\xe2\x80\xa6 https://t.co/s1elcu7kwj'"
179,"b""@porkchoppers2 hi there. sorry for the delay in our reply. you'd need to contact ryanair and request a refund, but\xe2\x80\xa6 https://t.co/njhnmuznj9"""
180,"b""@jayturnr hi j. sorry for the delay in our reply. if you've used your barclaycard to purchase the tickets, you'd fi\xe2\x80\xa6 https://t.co/dwzqfaufss"""
181,"b'@fitzgsp great news \xf0\x9f\x91\x8d again, sorry for the delay. if you need anything else, please let us know. nicola'"
182,"b""@gormleyb if not, it just takes a few minutes to sign up, just pop over to https://t.co/slprcvbk3e and select 'regi\xe2\x80\xa6 https://t.co/egzx7hoxja"""
183,"b""@gormleyb hi there. that's strange, how long has the error been showing for? also, do you have access to the 'mybar\xe2\x80\xa6 https://t.co/pyplcbazg6"""
184,"b""@ryanham11591882 hi ryan. sorry for the delay in our reply. to close an account, we'd need to speak to you. you can\xe2\x80\xa6 https://t.co/gbprhtdr5g"""
185,"b'@engineertaudio hi tom, so sorry our advisors are working as quickly as they can to answer customer queries. if you\xe2\x80\xa6 https://t.co/6ko84a9cgh'"
186,"b'@p_mack10 hi paul, our team is working hard to get through all messages but due to fewer staff and higher volumes i\xe2\x80\xa6 https://t.co/0zg2ofpf4n'"
187,"b""@fitzgsp hi sam. i'm really sorry about your wait. did you manage to speak to anyone? if not, can you tell me a lit\xe2\x80\xa6 https://t.co/zlhj0srmro"""
188,"b'scammers are selling personal protective equipment like masks and treatments for coronavirus that never arrive, or\xe2\x80\xa6 https://t.co/7k67gsdagn'"
189,"b""@relie_artist hi rich.i'm really sorry for the delay. did you manage to speak to anyone? if not, can you tell me a\xe2\x80\xa6 https://t.co/ffdumlllwv"""
190,"b""@glh1701 i'll have a look now g. thanks nikki"""
191,"b'@abcmsaj hi alex, do you want to dm me more info so i can take a look? thanks nikki https://t.co/mpqb4etryv'"
192,"b""@gemsactiderm hi there, gemma. sorry for the delay getting back to you, i hope you're keeping well. we couldn't unl\xe2\x80\xa6 https://t.co/lap21xsgfw"""
193,"b""@petsie7 hi peter, if you'd like to dm me what you were messaging the team about? it may be that it's a specialised\xe2\x80\xa6 https://t.co/mensjqx56z"""
194,b'@saunders5280 you can find out more about how our billing days work on this link john: https://t.co/52teyx7qlq and\xe2\x80\xa6 https://t.co/dnxcln2lo0'
195,"b'@cj_marston hi connor, you will already be registered when you applied. have you used the activation link? thanks nikki'"
196,"b""@marcfasting of course i do. and there's absolutely no need to apologise. our team are doing all they can to try an\xe2\x80\xa6 https://t.co/puwdvxf9od"""
197,"b""@marcfasting we're not replying live on twitter so we're not viewing the threads like you are i'm afraid. hence it\xe2\x80\xa6 https://t.co/eje8rjcpuv"""
198,"b""@nazir_a_naji we do need to speak to you before we'll send funds back for security reasons. you will need to get in\xe2\x80\xa6 https://t.co/imqyaimzxr"""
199,"b""@craighayes6 hi craig, \n\ni'll take this from here. you can certainly find out what your rights are and also raise a\xe2\x80\xa6 https://t.co/xmsimfk9y9"""
200,"b""@marcfasting hi marc, your tweet wasn't ignored. the team have lots to work through right now and it can take some\xe2\x80\xa6 https://t.co/7gwj7ixqcl"""
201,"b""@ssbib85 hi there, it's something we've set up due to the current situation. we're dealing with much higher call vo\xe2\x80\xa6 https://t.co/bct3egxrlp"""
202,"b""@nazir_a_naji i've replied to your other message nazir. thanks, cass"""
203,b'@nazir_a_naji you can now request that we transfer your credit balance back to your bank account online to save you\xe2\x80\xa6 https://t.co/vp6qaybpqe'
