,text_punct
29,bfergzlfc Hi Fergz Thanks for getting in touch We replied to your DM 5 days ago let me know if youre unable toxe2x80xa6 httpstcouOjkjiDnLt
30,bD_Biggsy Hi there Daniel Sorry for the delay getting back to you When did you arrange the transfer Kristos
31,brickbalbert Hey Rick can I check if this is a UK Barclaycard youre needing to speak with us about Lisa
32,bMyManor Hi there sorry for the delay Ive just replied to your other post so please check there Kristos
33,bMyManor Hi there sorry for the delay getting back to you The lines are very busy due to the global pandemic Whaxe2x80xa6 httpstco7WOhQcPztz
34,bjaaaao49 Hey Jess sorry to hear that If you can let me know the reason for your call Ill try and help or pointxe2x80xa6 httpstcoio87Q45gL8
35,bchrislane1313 Ah thats brilliant Chris  Im so glad to hear its all sorted Give us a shout if theres anythingxe2x80xa6 httpstcokvRb1m4416
36,bgirlmostlik3ly Hi there Sophie If you havenxe2x80x99t heard from us yet about your payment holiday xe2x80x93 wexe2x80x99re sorry in somexe2x80xa6 httpstco9pbntyX1kz
37,bryanhawkes Hi Ryan we have no plans to support Google pay or Android pay as we have our own platform That platfxe2x80xa6 httpstco1f1rZ1mkCI
38,bTheReaper08 Hey Simon at the moment the team are extremely short staffed due to the global situation This is makxe2x80xa6 httpstcofN6EzdnEZX
39,bPhilipdegg Thanks for letting us know and sorry for the wait times you have been experiencing  Ross
40,bSteveEastbury Hi Steve with the global situation were busier than usual and some teams arent in the office Wexe2x80xa6 httpstcoX6g4etY4pi
41,bs1dahmed Hi Sid sorry for the delay in my reply and for the wait to speak with us over the phone Id like to looxe2x80xa6 httpstcoc9bJtesvHD
42,bSophieBird5 Ah sorry Ive sent a link to DM below Kev httpstcomPqb4etrYV
43,blongs1981 Hi Stuart sorry for the delay in my reply and for the wait to speak with us over the phone I am sorryxe2x80xa6 httpstcoRGy7E4qmBL
44,bPolsterH Hi Polly Sorry for the delay Is this on both the website and the app or one in particular Can you DM mxe2x80xa6 httpstcoXx7cAcD87p
45,bRT BarclaysUK Thank you to everyone who joined us in supporting and donating to TheBigNightInAppeal Through your generosity wexe2x80x99ve helpexe2x80xa6
46,bfran_new Ah great news If you do need anything else please let us know Nicola
47,bLeeRams99712941 In the meantime if youxe2x80x99ve missed a payment in either March or April or if youxe2x80x99re worried that yxe2x80xa6 httpstcoC6ebOPyXyM
48,bLeeRams99712941 HI Lee Im sorry for the delay in getting back to you Were experiencing high demand across allxe2x80xa6 httpstcoCMu1m9xF3F
49,btavish_86 Thanks just send us a DM when you can and we can discuss it a little further Nicola httpstcomPqb4etrYV
50,bKatieWi76089189 Hi Katie If you need to access a business credit card account then it will be best to have a workxe2x80xa6 httpstco1ymIWh30PV
51,bnotmewhome Ah great news so it does sound like its been actioned Have you received any emails at all Nicola
52,brob33701727 Hi Rob Im sorry for the delay in our reply So that we can try some troubleshooting steps with youxe2x80xa6 httpstcoUeEh35xIRA
53,bmarren80 Hi there thanks for waiting To save you hanging on to speak to someone you can also dispute a transactxe2x80xa6 httpstcodODNyKGQqp
54,blizmead867 Glad to hear it If you have any questions in the meantime just shout up here Nicola
55,bIf youxe2x80x99re worried your income is being impacted by coronavirus we want to help and are now offering a 90day paymexe2x80xa6 httpstcoP1qDKBaqg0
56,bvanessoula83 owennandrews HI Vanessa Sorry for the delay in our reply Did you manage to speak to anyone If notxe2x80xa6 httpstcoLYgRtZhEG9
57,bElaineD32375493 Hi Elaine Im very sorry for the disruption to our normal service With the unprecedented numberxe2x80xa6 httpstcob2m9cHr4rF
58,bstudunmow Hi Stuart our staff are working as quickly as possible to get through the extremely high number of messxe2x80xa6 httpstcopDmEqCHaU0
59,bSeppy79 Sorry to hear this Simon did you manage to get this sorted Usually with fraud cases the team send you axe2x80xa6 httpstcoWm0JgECSco
60,blottynew Hi Loreta Sorry for the delay in our reply We do have staff working but were receiving a high volumexe2x80xa6 httpstcoTVDfh1ggtb
61,bMikeyreynolds01 Can I check if this is a business card or personal Youll need to speak to my colleaguesxe2x80xa6 httpstcodqlFSD24zI
62,bVanessaMollyNZ Hi Vanessa Sorry for the delay in our reply Can you tell me a little more about what you need helxe2x80xa6 httpstcoRciVKdiUUr
63,bchopefoster Apologies Catherine has this been sorted now at all If not please DM me so we can look into this forxe2x80xa6 httpstcoPFTH8XsKhn
64,bMiss_Masaya If you would like to explain your query a little further please feel free to come in to DM and wellxe2x80xa6 httpstcofOg7Qemodw
65,bamcshane123 Ah youd need to give the team a call on 0800 152 2888 MonFri 9am6pm amp Sat 9am5pm to check this Axe2x80xa6 httpstcouYfwkCfzen
66,bJWP_media_group If you dont have access it just takes a few minutes to set up Just pop across toxe2x80xa6 httpstcos9FP8OdzyY
67,bJWP_media_group Hi there Sorry for the delay in our reply Do you have access to the MyBarclaycard service onlixe2x80xa6 httpstcon4SJMV9O0O
68,bMarkEldridge3 Hi Mark Sorry for this Did you manage to speak to someone DM us if not Thanks Brendan httpstcomPqb4etrYV
69,b_weddingbelle Sorry about that and for the delay getting to you Did you manage to speak to someone Just send mexe2x80xa6 httpstcoLO2Rf6YmVl
70,bNicole_A_Banks Sorry for the delay getting to you Nicole did you manage to speak to someone If not just send usxe2x80xa6 httpstcoUAfmeTbfn3
71,bCFO19851 Hi there sorry for the delay You can also dispute a transaction online right herexe2x80xa6 httpstcoYrQizfMLxw
72,bGC20002000 Hi Glen ever so sorry for the long hold times and delay getting to you here Drop me a DM if you stillxe2x80xa6 httpstco6u2EvgG4uK
73,bTommyLowe1000 Hi Thomas Sorry for the delay Did you manage to speak to anyone If not can you tell me a littlexe2x80xa6 httpstcolZIGx7LGlb
74,bSamJOpus Hi Sam Im sorry for your wait Did you manage to speak to anyone If not can you tell me exactly whatxe2x80xa6 httpstcodxYb6JDf5c
75,bTheOlDavenport Hi Oliver if you have access to our website you should be able to view your PIN on there Im notxe2x80xa6 httpstcotgXl52Oa8f
76,bJanakD Hi Jd sorry for the delay You can now request that we transfer your credit balance back to your bank accoxe2x80xa6 httpstcoU0eI5YmhDM
77,bemilyoflanagan Ahh okay you should hear back soon about the payment holiday then Emily xf0x9fx98x8a Dean
78,bMiss_Masaya Hi There sorry for the delay Did you manage to speak to someone Thanks Brendan
79,bNAZIR_A_NAJI Ive replied in a DM Nazir as I have more characters to work with Thanks Brendan
80,bjohnclunge Hi John sorry for the delay I  have replied to your other message to us Thanks Brendan
81,bPoppy_Birdx Hi there Sorry for your wait Did you manage to speak to anyone If not can you tell me a little morxe2x80xa6 httpstcoGP6SdOxr4g
82,bbishopfactory 22 Ill see what we can do to help Thanks Brendan 22 httpstcomPqb4etrYV
83,bbishopfactory Hi Max Sorry for the delay We dont think its acceptable but due to the fewer staff and high numbxe2x80xa6 httpstcoU6dvGuDMSi
84,bcarinamac72 Hi Carina So sorry for the delay Did you get through If you didnt feel free to pop over to DM andxe2x80xa6 httpstcoZHD0oDOH3o
85,bjoeferrett Hi Joe If you want to pop over to DM by hitting the button below well see what we can do xf0x9fx91x8c Cheers Bxe2x80xa6 httpstcoqSAfJQ25uV
86,bMissJRozay Hi Sorry for the hold up Did you manage to speak to the team If not head on over to DM on the buttoxe2x80xa6 httpstcoh9QmOwTspW
87,bLamb2ja You too James Stay safe Brendan
88,bGeekDad412 Sorry Adam we are Barclaycard UK It will be best to keep trying AskBarclaysUS between Monday to Fridxe2x80xa6 httpstco1YqNe96DLB
89,bemilyoflanagan Were not charging customers late payment fees at the moment Emily when will you be able to pay Dean
90,bShauniMcTaggart Were dealing with so many disputes at the moment that were taking a little bit longer than usualxe2x80xa6 httpstcoxSI8PvfsNQ
91,bLoiner84 Hey Elizabeth Id like to try help with this Please pop over to DM so we can get this sorted and stopxe2x80xa6 httpstcolwXADl4SSR
92,bjohnkennedy44 Thatxe2x80x99s really odd John Do you log into your emails through a app If so can you try the desk top vxe2x80xa6 httpstcopCwYHPlXPU
93,blovellylovell Hi Emma thank you for your patience with us at the moment we are a little busy right now but I amxe2x80xa6 httpstcooqr8zJBZRH
94,btottenhosen Hi Kris I noticed your tweet and like to see how we can help Can you DM and let me know if you paidxe2x80xa6 httpstco4xTq9JiCKq
95,balrobjack Hi Alex sorry for the delay in my reply and for the wait to speak with us on the phone Do you know youxe2x80xa6 httpstcoFHkZh1xkt0
96,bLianne2024 Hi Lianne I am really sorry for the wait to speak with us and for the delay in my reply too Can you Dxe2x80xa6 httpstcoAiUWgpPMyJ
97,bKateR_x Hello there when did you send the forms back in the post  Ross
98,b_C1Amy Hey Amy sorry to hear youre having issues with this online whats going on when you try Feel free to poxe2x80xa6 httpstcohVmG4tel3I
99,bJamesCooper_94 I am really sorry about this The secure message service times out after 5 minutes but you can clixe2x80xa6 httpstcoIM7e0Mg5AA
100,bgaryslatter45 Hi Gary sorry to hear you were a victim of fraud Glad to hear we were able to sort this out for you  Kev
101,bLelecardus Hi Leah sorry for the delay in my reply and for the wait to speak with us over the phone Did you manaxe2x80xa6 httpstcoITHBF9YJwW
102,bmummalozza Hey thanks for reaching out Lozza Im sorry to hear about your loss and I want to do everything I canxe2x80xa6 httpstcoYSKn8jq2ni
103,bBeth65130001 Hi Beth apologies about this Ive responded to your other tweet Kev
104,bEvieAskew42 Hey Evie thanks for getting in touch This is certainly not the case and were doing our utmost to suxe2x80xa6 httpstcogObKNDthAQ
105,bFiestaman87 Could you let me know how the annual pass works Is it from September to July If so could I ask whatxe2x80xa6 httpstcoKQuYo560e6
106,bMattyGal Hi Matt If you pop over to DM well help with this its a little long for a tweet Thanks Brendan
107,bMrsWhitters Hi Sue If you pop over to DM well drop you a message as the advice on this one is a little larger thxe2x80xa6 httpstcoQt4l5GW1Yh
108,bLfcBull Im so sorry but we cant raise a fraud dispute here on social media If you try again tomorrow then hopefxe2x80xa6 httpstcof16VGdbcdt
109,bhosey_morgan Ill reply to your private message John Thanks Cass
110,brandomJill Hmm that is odd can you come over to DM with your full name and post code please and well take a lookxe2x80xa6 httpstco12UHiJdrqu
111,bGemsActiDerm Ive just replied to your DM Gemma Thanks Nikki
112,bNick_she89 Hi Nicholas Im not sure what that error means Are you sending a payment from a Barclays account or pxe2x80xa6 httpstcoJvIIM9r5yp
113,bcallumjohn28 Ah are you able to make enough of a payment to keep you under your limit at all Callum Thanks Cass
114,bg_bonfiglio Ah sounds like he was a bit of a star Giorgio Im not sure we can stretch to a statue but Ill absolxe2x80xa6 httpstcobrFB2a0zjf
115,bAmyWade_xx Hi Amy Thanks for your message if you are wishing to see if you can arrange a dispute you will find axe2x80xa6 httpstcoobhHt1Yz3N
116,btripc0de Sorry Michael Like Andy said you would need to speak with customer services to arrange the balance transxe2x80xa6 httpstcou28TLkwCj9
117,b466gw Hi There Im sorry about this we do have team members taking calls each day between 8am 8pm on 0800 151 0xe2x80xa6 httpstcoKqJquLHDrY
118,bWrittenMirror Hi Jay Im really sorry about this we are working as hard as we can to deal with the amount of querxe2x80xa6 httpstco86lR4tF2er
119,bAlex_IoT Hi Alex sorry for the delay we are a little behind getting back to customers but we are getting therexe2x80xa6 httpstcoxAeXik1ubE
120,bRT BarclaysUK The time is finally herexe2x80xa6Tune in on BBC One to watch TheBigNightIn at 7pm httpstcoPLSucwR7Jt
121,bMSpill01 Thanks for letting me know the team will get back to you as soon as they can Please let us know if you need anything else Lisa
122,bPainDiane MSNBC CNN FoxNews NerdWallet credcardGenius Hi Diane youve contacted Barclaycard UK so were notxe2x80xa6 httpstcoWaK4QoAOao
123,bPainDiane Hi Diane youve contacted Barclaycard UK so were not able to help with that AskBarclaysUS are availaxe2x80xa6 httpstcoZ3wFAXST4K
124,bCarthyB What is it you need help with Brendan You can send us a DM if youd prefer Sarah
125,bJohnsonator85 Hi Marc Im sorry that its taken so long to come back to you we are working as hard as we can to cxe2x80xa6 httpstcoWinf4mAQAq
126,bMs_OgechiU Good to know thanks for letting us know xf0x9fx91x8d Brendan
127,bKirstymccoid Hi Kirsty thats not great and Im so sorry for the trouble getting through If you can access yourxe2x80xa6 httpstcoLOO3Yl22X7
128,bBeccaJollyy Hi Becca sorry for the delay in my reply I noticed this and I am sorry you havent heard back from uxe2x80xa6 httpstcoZtE5kycFIv
129,b6starRanks Hi there so sorry you havent heard back yet I can appreciate the worry youll have The team are busxe2x80xa6 httpstcoC2lJ2OZCYl
130,bBOOEYBOK No problem Kate Thanks for you patience Please DM your father in laws name post code and phone numberxe2x80xa6 httpstcodatzlbswhl
131,bKerbyEmily HI Emily Im sorry for the delay in our reply How did you submit the dispute with us Nicola
132,bdec_900 Hi Dec Sorry this is the case We can check the status of this for you if you DM your name post code andxe2x80xa6 httpstcodY12zspXcJ
133,bAussieHarj Hi Harj so sorry that happened to you Have you managed to get sorted since Thanks Brendan
134,bleah_reynoldsx Hi Leah it sounds like you havent been billed and already made a payment for the most recent statxe2x80xa6 httpstcoiFToYNqbHr
135,bMs_OgechiU Have you tried clearing your cache and cookies closing the browser and trying again Thanks Brendan
136,bMs_OgechiU Hi Ogechi You can drop us a secure message by logging into Barclaycard Online services Once online dxe2x80xa6 httpstcoMlfuSbPiAW
137,bjennie_eq Hey Jennie could you come over to DM with your full name and post code please so that we can have a chaxe2x80xa6 httpstco4NlH1NiVAN
138,bneutronflow Hi Danny I appreciate where you are coming from but currently these payment methods arent on the roaxe2x80xa6 httpstco4CUPHpQUNo
139,bmacgregordude Yes sure Ive popped a DM link below Kristos httpstcomPqb4etrYV
140,bLfcBull Hi there oh no sorry to hear there has been fraud take place on your account Did you manage to speak witxe2x80xa6 httpstcoWCPdj8yvd6
141,bfran_new Hi Fran Sorry for the delay Is this change for your personal credit card account Brendan
142,brwb4590 Hi Ryan I dont have an eta on that Im afraid Can you DM me your post code and full name Well look inxe2x80xa6 httpstcoYFMa5XZuqx
143,btim_waghorn Hi Tim sorry for the delay in my reply and for the wait to speak with us over the phone Ive responded to your DM Kev
144,bRobbie_Dazzler Hi Rob Sorry for the delay in our reply We do have a few troubleshooting steps that you can tryxe2x80xa6 httpstcodbPEUnnUaR
145,bStuPreston Hi Stuart Sorry you cant get through if you drop me a DM with your full name postcode and contact nxe2x80xa6 httpstcozf7H5L8hp5
146,bHorsfordCPA Sorry my apologies Ive just noticed your location on your profile Youve reached out to Barclaycardxe2x80xa6 httpstcoBqgNhZiO9s
147,bmattya5419 Hi Matty sorry but were the UK team and cannot help with that AskBarclaysUS are available 9am to 5pxe2x80xa6 httpstcoUD6Q4MIEaP
148,bHorsfordCPA Sorry I dont understand what you mean If you have a balance on your card then you would need to payxe2x80xa6 httpstcoj8U395yM3E
149,bCliffCartwright Our teams are working as hard as they can against all odds Cliff We appreciate the time its takixe2x80xa6 httpstcoB5tH2vYbIW
150,bpaulrhoughton Hi Paul sorry to hear youve not heard back yet Did you process this online and have you had any cxe2x80xa6 httpstcozQlOP8pMIw
151,bColloghi Hi There Sorry youre having some issues making a payment to your Barclaycard if youd like me to take axe2x80xa6 httpstcokLytDnpshM
152,bTishtoshtee We cant access accounts for help via social media Im afraid The best thing to do would be to give txe2x80xa6 httpstcoArXKuq9KPt
153,bdsa0905 Hi Danielle sorry for the delay in my reply and for the wait to speak with us over the phone Did you manxe2x80xa6 httpstcoJAYovQXQrF
154,btavish_86 Hiya Andy thanks for your patience Wed keep the funds to one side until we could arrange to get themxe2x80xa6 httpstcoASWuRV5Jqo
155,bneilhector Hi Neil Sorry for the delay in our reply We do have some troubleshooting steps that we can try with yxe2x80xa6 httpstco1BGDMQSLKJ
156,bmp81safc No worries Mark take care and stay safe Thanks Dan
157,bchrislane1313 Hi Chris thanks for waiting I couldnt give you an estimate on this Im afraid but Ive seen somexe2x80xa6 httpstcodAq4vWPBRC
158,bFiestaman87 Hi Stephen thanks for your patience Do you mean that you want to get the remainder of the funds backxe2x80xa6 httpstco5uy7flgjcL
159,bJamesCooper_94 Ah apologies about this could you try and clear the cache and cookies or try a different browserxe2x80xa6 httpstco0tpsbUj1eu
160,bJennife09331885 Hi Jennifer So sorry for the long hold times To save you hanging on to speak to someone you canxe2x80xa6 httpstcors9UngFox5
161,bAmandajacobs100 Hi Amanda sorry for the delay in my reply I can see my colleague has picked up your DM Let us kxe2x80xa6 httpstcoRn9nEeEh5j
162,bLaurenGxdfrey Hi Lauren Ive replied to your DM now Nic
163,bArchesukRob Hey Rob thanks for your Tweet What were you trying to do Pop over to DM if youd prefer Ashleigh httpstcomPqb4eL2Qt
164,bNimmo_7 Hi Liam we havent stopped interest on credit cards Heres a link with info on how were supporting ourxe2x80xa6 httpstcoc03qyzTjWV
165,bmichelle_ianson Hello Michelle thanks for your message When you say youve raised this with us how was this raixe2x80xa6 httpstcod9abc8sBY7
166,bHorsfordCPA Hello there thanks for your Tweet I appreciate this is frustrating but these are the only two ways txe2x80xa6 httpstcoO3kq9ygzM9
167,bMgrayso86353221 Thats great news Im glad Dean could help nnStay safe nBrendan
168,braymondphill HI Raymond Sorry for the delay in our reply Could you pop over in to DM We can discuss what you nexe2x80xa6 httpstcoyj1XslRcwu
169,bowennandrews Hi Owen our teams are in the office Ill reply to your DM now Thanks Nikki
170,bOggieoi TUIUK However if youre unable to get a refund through those two methods you can read about your protecxe2x80xa6 httpstcordzvYEw5HS
171,bOggieoi TUIUK First thing would be to ask Tui for a refund If theyre unable to offer a refund youd then needxe2x80xa6 httpstcoLf6rPLan3h
172,bOggieoi TUIUK Hi Oggy Sorry for the delay in our reply Although we know that cancellations are likely wed neexe2x80xa6 httpstcoXL0e0MBG2H
173,bnotmewhome Hi there we do advise that it can take up to nine working days so hopefully youll hear today or tomorrow Thanks Cass
174,bDarrenMannAM1 Hi Darren very sorry for the long hold times in relation to your online and app issues If you DM lxe2x80xa6 httpstcomoihGSxLnP
175,bburble61 Aw thanks for your message We think shes great too Ill let her know xf0x9fx98x8a Nicola
176,b14pricey14 Hi there We have a page dedicated to this to give you all the tools and information you need Please sxe2x80xa6 httpstcoSfBhFNIwKO
177,bLamb2ja Hi James nnSorry forgetting back to you latennYou can now request that we transfer your credit balance bxe2x80xa6 httpstco7LpJxqeoBh
178,bgormleyb Ah I see So that I can run through run few troubleshooting steps with you could you please pop over toxe2x80xa6 httpstcos1ELCu7Kwj
179,bPorkchoppers2 Hi there Sorry for the delay in our reply Youd need to contact Ryanair and request a refund butxe2x80xa6 httpstconjHNMUZnj9
180,bJayTurnr Hi J Sorry for the delay in our reply If youve used your Barclaycard to purchase the tickets youd fixe2x80xa6 httpstcoDwZqFaUFsS
181,bFitzgSP Great news xf0x9fx91x8d Again sorry for the delay If you need anything else please let us know Nicola
182,bgormleyb If not it just takes a few minutes to sign up just pop over to httpstcoslprCvBk3E and select Regixe2x80xa6 httpstcoegZx7hoxjA
183,bgormleyb Hi there Thats strange how long has the error been showing for Also do you have access to the MyBarxe2x80xa6 httpstcopYpLcbazg6
184,bRyanHam11591882 HI Ryan Sorry for the delay in our reply To close an account wed need to speak to you You canxe2x80xa6 httpstcogbPRHTdr5G
185,bengineertaudio Hi Tom so sorry our advisors are working as quickly as they can to answer customer queries If youxe2x80xa6 httpstco6kO84A9cgh
186,bP_Mack10 Hi Paul our team is working hard to get through all messages but due to fewer staff and higher volumes ixe2x80xa6 httpstco0zG2ofPF4n
187,bFitzgSP Hi Sam Im really sorry about your wait Did you manage to speak to anyone If not can you tell me a litxe2x80xa6 httpstcoZLhJ0Srmro
188,bScammers are selling personal protective equipment like masks and treatments for coronavirus that never arrive orxe2x80xa6 httpstco7K67GSDAGn
189,brelie_artist HI RichIm really sorry for the delay Did you manage to speak to anyone If not can you tell me axe2x80xa6 httpstcoFFdUmlllWV
190,bglh1701 Ill have a look now G Thanks Nikki
191,bAbcmsaj Hi Alex do you want to DM me more info so I can take a look Thanks Nikki httpstcomPqb4etrYV
192,bGemsActiDerm Hi there Gemma Sorry for the delay getting back to you I hope youre keeping well We couldnt unlxe2x80xa6 httpstcolAP21xsGfW
193,bpetsie7 HI Peter if youd like to DM me what you were messaging the team about It may be that its a specialisedxe2x80xa6 httpstcomENsjqx56Z
194,bSaunders5280 You can find out more about how our billing days work on this link John httpstco52TeyX7qlq Andxe2x80xa6 httpstcodNXclN2LO0
195,bCJ_Marston Hi Connor you will already be registered when you applied Have you used the activation link Thanks Nikki
196,bMarcfasting Of course I do And theres absolutely no need to apologise Our team are doing all they can to try anxe2x80xa6 httpstcoPUWDVxf9Od
197,bMarcfasting Were not replying live on Twitter so were not viewing the threads like you are Im afraid Hence itxe2x80xa6 httpstcoeJE8RJCPuV
198,bNAZIR_A_NAJI We do need to speak to you before well send funds back for security reasons You will need to get inxe2x80xa6 httpstcoiMQyAImzXR
199,bCraigHayes6 Hi Craig nnIll take this from here You can certainly find out what your rights are and also raise axe2x80xa6 httpstcoxmsiMfK9y9
200,bMarcfasting Hi Marc your tweet wasnt ignored The team have lots to work through right now and it can take somexe2x80xa6 httpstco7gWj7ixqCl
201,bssbib85 Hi there its something weve set up due to the current situation Were dealing with much higher call voxe2x80xa6 httpstcobct3EgxrLP
202,bNAZIR_A_NAJI Ive replied to your other message Nazir Thanks Cass
203,bNAZIR_A_NAJI You can now request that we transfer your credit balance back to your bank account online to save youxe2x80xa6 httpstcovp6qAYBPqe
204,bkevsilverfox Hi Kevin sorry it doesnt look like thats been picked up Bear with me Ill pop in and reply now Thanks Nikki
205,bMattAtk81372204 It would be Matt Thanks Nikki
206,bD_Griffiths96 Were dealing with so many disputes at the moment that were taking a little bit longer than usual txe2x80xa6 httpstcoufMQr2SAsZ
207,bD_Griffiths96 Were dealing with so many disputes at the moment that were taking a little bit longer than usual txe2x80xa6 httpstcoqHdSxKqA9N
208,bRT BarclaysUK Wexe2x80x99ve kickstarted our donation with xc2xa31 million and wexe2x80x99ll match your donation pennyforpenny and poundforpound through oxe2x80xa6
209,bstulcfc Hi there I can help you get a new card ordered if you send me a DM with your name postcode and phone number Thanks Cass
210,bMissusGT Hi there Ashleigh Sorry for the delay getting back to you I hope youre keeping well I appreciate thexe2x80xa6 httpstco8RcnPkZtCz
211,bMattAtk81372204 Hey Matt it can take up to five working days to process a credit balance refund Thanks Cass
212,bbikerbabe108sc1 Hi there theres a form you can complete to request a credit balance refund httpstco60fqQbnoLJ Thanks Cass
213,bamcshane123 Hi Ashley if the application was completed online then we would have received that but due to the numxe2x80xa6 httpstcoWOVrUKdD0U
214,bPropel2Steve I understand Were here 247 and will get back to you as soon as we can Lisa
215,b_Aam1r Hi there sorry for the delay Our telephone teams are really busy at the moment theyre working extremelyxe2x80xa6 httpstcoNSNZOU3wXb
216,bMichael98859819 Hi Michael sorry for the delay Our telephone teams are really busy at the moment theyre workinxe2x80xa6 httpstcoAnitMDgEJE
217,bMSpill01 Hi Marie are you able to log into your account online If so you can send a secure message and well getxe2x80xa6 httpstcogn0BzcZ07w
218,bLT_Bowen Sorry we couldnt help you further through here Lee Give us a shout if we could help with anything else though xf0x9fx98x8a Rach
219,bBhavna68681162 With the global restrictions in place some of our teams arent available while others are functionxe2x80xa6 httpstcoI8Gmuljr2E
220,bfiona2608 Hi Fiona sorry for the wait can I ask the reason youre trying to get in touch please Ill see how wexe2x80xa6 httpstcoj0zuzEKIvG
221,bSophiakhan11K Hi Sophie I am sorry that you have been on hold for so long if you wish to raise a complaint I canxe2x80xa6 httpstcotdXFDQfH6N
222,btallybookbinder Hi there sorry for the long wait but Its great to hear you got through to one of our amazing memxe2x80xa6 httpstcoBov332MJth
223,bAnnetteHenders2 Thanks for letting us know  Ross
224,bStormtrooper73 Hey Gordon with the global situation were busier than usual and need to take staff health into cxe2x80xa6 httpstcoHPqd2Npzuy
225,blobsta28 Fantastic news thanks for letting us know Give us a shout if you need anything else Lisa
226,bMikeyreynolds01 Which form online have they advised you to compete Also have you been able to fill it out and submit it okay Rach
227,brugby_bears Hi there Im sorry to hear that I hope you managed to speak with someone if not please let me knowxe2x80xa6 httpstcoc6IjMISz2y
228,bBingman1 Hi Richard sorry for the delay Our telephone teams are really busy at the moment theyre working hardxe2x80xa6 httpstcolcvRJYufwM
229,bemilyoflanagan Hi Emily were working through a lot of applications at the moment and will be in touch as soon as we can Lisa
230,bBiggsRicoLA Sorry to hear that Is this a debit or credit card Also can I just check your account is in the UK Lisa
