,text_common
26,brickbalbert Thats great hear Rick anything else please let know Lisa
27,bThom41686633 Thom Sorry getting back We responding messages team axe2x80xa6 httpstcoq5orGnueJr
28,bnotmewhome Thank appreciate Kristos
29,bfergzlfc Fergz getting touch We replied 5 days ago let know youre unable toxe2x80xa6 httpstcouOjkjiDnLt
30,bD_Biggsy Daniel Sorry getting back When arrange transfer Kristos
31,brickbalbert Hey Rick check UK Barclaycard youre needing speak Lisa
32,bMyManor Ive replied post please check Kristos
33,bMyManor getting back The lines busy due global pandemic Whaxe2x80xa6 httpstco7WOhQcPztz
34,bjaaaao49 Hey Jess hear let know reason call Ill try help pointxe2x80xa6 httpstcoio87Q45gL8
35,bchrislane1313 Ah thats brilliant Chris glad hear sorted Give shout theres anythingxe2x80xa6 httpstcokvRb1m4416
36,bgirlmostlik3ly Sophie havenxe2x80x99t heard yet payment holiday xe2x80x93 wexe2x80x99re somexe2x80xa6 httpstco9pbntyX1kz
37,bryanhawkes Ryan plans support Google pay Android pay platform That platfxe2x80xa6 httpstco1f1rZ1mkCI
38,bTheReaper08 Hey Simon moment team extremely short staffed due global situation This makxe2x80xa6 httpstcofN6EzdnEZX
39,bPhilipdegg letting know wait times experiencing Ross
40,bSteveEastbury Steve global situation busier usual teams arent office Wexe2x80xa6 httpstcoX6g4etY4pi
41,bs1dahmed Sid reply wait speak phone Id like looxe2x80xa6 httpstcoc9bJtesvHD
42,bSophieBird5 Ah Ive sent link Kev httpstcomPqb4etrYV
43,blongs1981 Stuart reply wait speak phone sorryxe2x80xa6 httpstcoRGy7E4qmBL
44,bPolsterH Polly Sorry Is website app one particular Can mxe2x80xa6 httpstcoXx7cAcD87p
45,bRT BarclaysUK Thank everyone joined supporting donating TheBigNightInAppeal Through generosity wexe2x80x99ve helpexe2x80xa6
46,bfran_new Ah great news anything else please let know Nicola
47,bLeeRams99712941 In meantime youxe2x80x99ve missed payment either March April youxe2x80x99re worried yxe2x80xa6 httpstcoC6ebOPyXyM
48,bLeeRams99712941 HI Lee getting back Were experiencing high demand across allxe2x80xa6 httpstcoCMu1m9xF3F
49,btavish_86 send discuss little Nicola httpstcomPqb4etrYV
50,bKatieWi76089189 Katie access business credit card account best workxe2x80xa6 httpstco1ymIWh30PV
51,bnotmewhome Ah great news sound like actioned Have received emails Nicola
52,brob33701727 Rob reply So try troubleshooting steps youxe2x80xa6 httpstcoUeEh35xIRA
53,bmarren80 thanks waiting To save hanging speak someone also dispute transactxe2x80xa6 httpstcodODNyKGQqp
54,blizmead867 Glad hear questions meantime shout Nicola
55,bIf youxe2x80x99re worried income impacted coronavirus want help offering 90day paymexe2x80xa6 httpstcoP1qDKBaqg0
56,bvanessoula83 owennandrews HI Vanessa Sorry reply Did manage speak anyone notxe2x80xa6 httpstcoLYgRtZhEG9
57,bElaineD32375493 Elaine disruption normal service With unprecedented numberxe2x80xa6 httpstcob2m9cHr4rF
58,bstudunmow Stuart staff working quickly possible get extremely high number messxe2x80xa6 httpstcopDmEqCHaU0
59,bSeppy79 Sorry hear Simon manage get sorted Usually fraud cases team send axe2x80xa6 httpstcoWm0JgECSco
60,blottynew Loreta Sorry reply We staff working receiving high volumexe2x80xa6 httpstcoTVDfh1ggtb
61,bMikeyreynolds01 Can check business card personal Youll speak colleaguesxe2x80xa6 httpstcodqlFSD24zI
62,bVanessaMollyNZ Vanessa Sorry reply Can tell little helxe2x80xa6 httpstcoRciVKdiUUr
63,bchopefoster Apologies Catherine sorted please look forxe2x80xa6 httpstcoPFTH8XsKhn
64,bMiss_Masaya would like explain query little please feel free come wellxe2x80xa6 httpstcofOg7Qemodw
65,bamcshane123 Ah youd give team call 0800 152 2888 MonFri 9am6pm amp Sat 9am5pm check Axe2x80xa6 httpstcouYfwkCfzen
66,bJWP_media_group dont access takes minutes set Just pop across toxe2x80xa6 httpstcos9FP8OdzyY
67,bJWP_media_group Sorry reply Do access MyBarclaycard service onlixe2x80xa6 httpstcon4SJMV9O0O
68,bMarkEldridge3 Mark Sorry Did manage speak someone Brendan httpstcomPqb4etrYV
69,b_weddingbelle Sorry getting Did manage speak someone Just send mexe2x80xa6 httpstcoLO2Rf6YmVl
70,bNicole_A_Banks Sorry getting Nicole manage speak someone send usxe2x80xa6 httpstcoUAfmeTbfn3
71,bCFO19851 You also dispute transaction online right herexe2x80xa6 httpstcoYrQizfMLxw
72,bGC20002000 Glen ever long hold times getting Drop stillxe2x80xa6 httpstco6u2EvgG4uK
73,bTommyLowe1000 Thomas Sorry Did manage speak anyone tell littlexe2x80xa6 httpstcolZIGx7LGlb
74,bSamJOpus Sam wait Did manage speak anyone tell exactly whatxe2x80xa6 httpstcodxYb6JDf5c
75,bTheOlDavenport Oliver access website able view PIN notxe2x80xa6 httpstcotgXl52Oa8f
76,bJanakD Jd You request transfer credit balance back bank accoxe2x80xa6 httpstcoU0eI5YmhDM
77,bemilyoflanagan Ahh okay hear back soon payment holiday Emily xf0x9fx98x8a Dean
78,bMiss_Masaya There Did manage speak someone Brendan
79,bNAZIR_A_NAJI Ive replied Nazir characters work Brendan
80,bjohnclunge John replied message Brendan
81,bPoppy_Birdx Sorry wait Did manage speak anyone tell little morxe2x80xa6 httpstcoGP6SdOxr4g
82,bbishopfactory 22 Ill see help Brendan 22 httpstcomPqb4etrYV
83,bbishopfactory Max Sorry We dont think acceptable due fewer staff high numbxe2x80xa6 httpstcoU6dvGuDMSi
84,bcarinamac72 Carina So Did get didnt feel free pop andxe2x80xa6 httpstcoZHD0oDOH3o
85,bjoeferrett Joe want pop hitting button well see xf0x9fx91x8c Cheers Bxe2x80xa6 httpstcoqSAfJQ25uV
86,bMissJRozay Sorry hold Did manage speak team head buttoxe2x80xa6 httpstcoh9QmOwTspW
87,bLamb2ja You James Stay safe Brendan
88,bGeekDad412 Sorry Adam Barclaycard UK It best keep trying AskBarclaysUS Monday Fridxe2x80xa6 httpstco1YqNe96DLB
89,bemilyoflanagan Were charging customers late payment fees moment Emily able pay Dean
90,bShauniMcTaggart Were dealing many disputes moment taking little bit longer usualxe2x80xa6 httpstcoxSI8PvfsNQ
91,bLoiner84 Hey Elizabeth Id like try help Please pop get sorted stopxe2x80xa6 httpstcolwXADl4SSR
92,bjohnkennedy44 Thatxe2x80x99s really odd John Do log emails app try desk top vxe2x80xa6 httpstcopCwYHPlXPU
93,blovellylovell Emma thank patience moment little busy right amxe2x80xa6 httpstcooqr8zJBZRH
94,btottenhosen Kris noticed tweet like see help Can let know paidxe2x80xa6 httpstco4xTq9JiCKq
95,balrobjack Alex reply wait speak phone Do know youxe2x80xa6 httpstcoFHkZh1xkt0
96,bLianne2024 Lianne really wait speak reply Can Dxe2x80xa6 httpstcoAiUWgpPMyJ
97,bKateR_x Hello send forms back post Ross
98,b_C1Amy Hey Amy hear youre issues online whats going try Feel free poxe2x80xa6 httpstcohVmG4tel3I
99,bJamesCooper_94 really The secure message service times 5 minutes clixe2x80xa6 httpstcoIM7e0Mg5AA
100,bgaryslatter45 Gary hear victim fraud Glad hear able sort Kev
101,bLelecardus Leah reply wait speak phone Did manaxe2x80xa6 httpstcoITHBF9YJwW
102,bmummalozza Hey thanks reaching Lozza hear loss want everything canxe2x80xa6 httpstcoYSKn8jq2ni
103,bBeth65130001 Beth apologies Ive responded tweet Kev
104,bEvieAskew42 Hey Evie thanks getting touch This certainly case utmost suxe2x80xa6 httpstcogObKNDthAQ
105,bFiestaman87 Could let know annual pass works Is September July could ask whatxe2x80xa6 httpstcoKQuYo560e6
106,bMattyGal Matt pop well help little long tweet Brendan
107,bMrsWhitters Sue pop well drop message advice one little larger thxe2x80xa6 httpstcoQt4l5GW1Yh
108,bLfcBull cant raise fraud dispute social media try tomorrow hopefxe2x80xa6 httpstcof16VGdbcdt
109,bhosey_morgan Ill reply private message John Cass
110,brandomJill Hmm odd come full name post code please well take lookxe2x80xa6 httpstco12UHiJdrqu
111,bGemsActiDerm Ive replied Gemma Nikki
112,bNick_she89 Nicholas sure error means Are sending payment Barclays account pxe2x80xa6 httpstcoJvIIM9r5yp
113,bcallumjohn28 Ah able make enough payment keep limit Callum Cass
114,bg_bonfiglio Ah sounds like bit star Giorgio sure stretch statue Ill absolxe2x80xa6 httpstcobrFB2a0zjf
115,bAmyWade_xx Amy message wishing see arrange dispute find axe2x80xa6 httpstcoobhHt1Yz3N
116,btripc0de Sorry Michael Like Andy said would speak customer services arrange balance transxe2x80xa6 httpstcou28TLkwCj9
117,b466gw There team members taking calls day 8am 8pm 0800 151 0xe2x80xa6 httpstcoKqJquLHDrY
118,bWrittenMirror Jay really working hard deal amount querxe2x80xa6 httpstco86lR4tF2er
119,bAlex_IoT Alex little behind getting back customers getting therexe2x80xa6 httpstcoxAeXik1ubE
120,bRT BarclaysUK The time finally herexe2x80xa6Tune BBC One watch TheBigNightIn 7pm httpstcoPLSucwR7Jt
121,bMSpill01 letting know team get back soon Please let know anything else Lisa
122,bPainDiane MSNBC CNN FoxNews NerdWallet credcardGenius Diane youve contacted Barclaycard UK notxe2x80xa6 httpstcoWaK4QoAOao
123,bPainDiane Diane youve contacted Barclaycard UK able help AskBarclaysUS availaxe2x80xa6 httpstcoZ3wFAXST4K
124,bCarthyB What help Brendan You send youd prefer Sarah
125,bJohnsonator85 Marc taken long come back working hard cxe2x80xa6 httpstcoWinf4mAQAq
126,bMs_OgechiU Good know thanks letting know xf0x9fx91x8d Brendan
127,bKirstymccoid Kirsty thats great trouble getting access yourxe2x80xa6 httpstcoLOO3Yl22X7
128,bBeccaJollyy Becca reply noticed havent heard back uxe2x80xa6 httpstcoZtE5kycFIv
129,b6starRanks havent heard back yet appreciate worry youll The team busxe2x80xa6 httpstcoC2lJ2OZCYl
130,bBOOEYBOK No problem Kate patience Please father laws name post code phone numberxe2x80xa6 httpstcodatzlbswhl
131,bKerbyEmily HI Emily reply How submit dispute Nicola
132,bdec_900 Dec Sorry case We check status name post code andxe2x80xa6 httpstcodY12zspXcJ
133,bAussieHarj Harj happened Have managed get sorted since Brendan
134,bleah_reynoldsx Leah sounds like havent billed already made payment recent statxe2x80xa6 httpstcoiFToYNqbHr
135,bMs_OgechiU Have tried clearing cache cookies closing browser trying Brendan
136,bMs_OgechiU Ogechi You drop secure message logging Barclaycard Online services Once online dxe2x80xa6 httpstcoMlfuSbPiAW
137,bjennie_eq Hey Jennie could come full name post code please chaxe2x80xa6 httpstco4NlH1NiVAN
138,bneutronflow Danny appreciate coming currently payment methods arent roaxe2x80xa6 httpstco4CUPHpQUNo
139,bmacgregordude Yes sure Ive popped link Kristos httpstcomPqb4etrYV
140,bLfcBull oh hear fraud take place account Did manage speak witxe2x80xa6 httpstcoWCPdj8yvd6
141,bfran_new Fran Sorry Is change personal credit card account Brendan
142,brwb4590 Ryan dont eta afraid Can post code full name Well look inxe2x80xa6 httpstcoYFMa5XZuqx
143,btim_waghorn Tim reply wait speak phone Ive responded Kev
144,bRobbie_Dazzler Rob Sorry reply We troubleshooting steps tryxe2x80xa6 httpstcodbPEUnnUaR
145,bStuPreston Stuart Sorry cant get drop full name postcode contact nxe2x80xa6 httpstcozf7H5L8hp5
146,bHorsfordCPA Sorry apologies Ive noticed location profile Youve reached Barclaycardxe2x80xa6 httpstcoBqgNhZiO9s
147,bmattya5419 Matty UK team cannot help AskBarclaysUS available 9am 5pxe2x80xa6 httpstcoUD6Q4MIEaP
148,bHorsfordCPA Sorry dont understand mean balance card would payxe2x80xa6 httpstcoj8U395yM3E
149,bCliffCartwright Our teams working hard odds Cliff We appreciate time takixe2x80xa6 httpstcoB5tH2vYbIW
150,bpaulrhoughton Paul hear youve heard back yet Did process online cxe2x80xa6 httpstcozQlOP8pMIw
151,bColloghi There Sorry youre issues making payment Barclaycard youd like take axe2x80xa6 httpstcokLytDnpshM
152,bTishtoshtee We cant access accounts help via social media afraid The best thing would give txe2x80xa6 httpstcoArXKuq9KPt
153,bdsa0905 Danielle reply wait speak phone Did manxe2x80xa6 httpstcoJAYovQXQrF
154,btavish_86 Hiya Andy thanks patience Wed keep funds one side could arrange get themxe2x80xa6 httpstcoASWuRV5Jqo
155,bneilhector Neil Sorry reply We troubleshooting steps try yxe2x80xa6 httpstco1BGDMQSLKJ
156,bmp81safc No worries Mark take care stay safe Dan
157,bchrislane1313 Chris thanks waiting couldnt give estimate afraid Ive seen somexe2x80xa6 httpstcodAq4vWPBRC
158,bFiestaman87 Stephen thanks patience Do mean want get remainder funds backxe2x80xa6 httpstco5uy7flgjcL
159,bJamesCooper_94 Ah apologies could try clear cache cookies try different browserxe2x80xa6 httpstco0tpsbUj1eu
160,bJennife09331885 Jennifer So long hold times To save hanging speak someone canxe2x80xa6 httpstcors9UngFox5
161,bAmandajacobs100 Amanda reply see colleague picked Let kxe2x80xa6 httpstcoRn9nEeEh5j
162,bLaurenGxdfrey Lauren Ive replied Nic
163,bArchesukRob Hey Rob thanks Tweet What trying Pop youd prefer Ashleigh httpstcomPqb4eL2Qt
164,bNimmo_7 Liam havent stopped interest credit cards Heres link info supporting ourxe2x80xa6 httpstcoc03qyzTjWV
165,bmichelle_ianson Hello Michelle thanks message When say youve raised raixe2x80xa6 httpstcod9abc8sBY7
166,bHorsfordCPA Hello thanks Tweet appreciate frustrating two ways txe2x80xa6 httpstcoO3kq9ygzM9
167,bMgrayso86353221 Thats great news glad Dean could help nnStay safe nBrendan
168,braymondphill HI Raymond Sorry reply Could pop We discuss nexe2x80xa6 httpstcoyj1XslRcwu
169,bowennandrews Owen teams office Ill reply Nikki
170,bOggieoi TUIUK However youre unable get refund two methods read protecxe2x80xa6 httpstcordzvYEw5HS
171,bOggieoi TUIUK First thing would ask Tui refund theyre unable offer refund youd needxe2x80xa6 httpstcoLf6rPLan3h
172,bOggieoi TUIUK Oggy Sorry reply Although know cancellations likely wed neexe2x80xa6 httpstcoXL0e0MBG2H
173,bnotmewhome advise take nine working days hopefully youll hear today tomorrow Cass
174,bDarrenMannAM1 Darren long hold times relation online app issues lxe2x80xa6 httpstcomoihGSxLnP
175,bburble61 Aw thanks message We think shes great Ill let know xf0x9fx98x8a Nicola
176,b14pricey14 We page dedicated give tools information Please sxe2x80xa6 httpstcoSfBhFNIwKO
177,bLamb2ja James nnSorry forgetting back latennYou request transfer credit balance bxe2x80xa6 httpstco7LpJxqeoBh
178,bgormleyb Ah see So run run troubleshooting steps could please pop toxe2x80xa6 httpstcos1ELCu7Kwj
179,bPorkchoppers2 Sorry reply Youd contact Ryanair request refund butxe2x80xa6 httpstconjHNMUZnj9
180,bJayTurnr J Sorry reply youve used Barclaycard purchase tickets youd fixe2x80xa6 httpstcoDwZqFaUFsS
181,bFitzgSP Great news xf0x9fx91x8d Again anything else please let know Nicola
182,bgormleyb takes minutes sign pop httpstcoslprCvBk3E select Regixe2x80xa6 httpstcoegZx7hoxjA
183,bgormleyb Thats strange long error showing Also access MyBarxe2x80xa6 httpstcopYpLcbazg6
184,bRyanHam11591882 HI Ryan Sorry reply To close account wed speak You canxe2x80xa6 httpstcogbPRHTdr5G
185,bengineertaudio Tom advisors working quickly answer customer queries youxe2x80xa6 httpstco6kO84A9cgh
186,bP_Mack10 Paul team working hard get messages due fewer staff higher volumes ixe2x80xa6 httpstco0zG2ofPF4n
187,bFitzgSP Sam really wait Did manage speak anyone tell litxe2x80xa6 httpstcoZLhJ0Srmro
188,bScammers selling personal protective equipment like masks treatments coronavirus never arrive orxe2x80xa6 httpstco7K67GSDAGn
189,brelie_artist HI RichIm really Did manage speak anyone tell axe2x80xa6 httpstcoFFdUmlllWV
190,bglh1701 Ill look G Nikki
191,bAbcmsaj Alex want info take look Nikki httpstcomPqb4etrYV
192,bGemsActiDerm Gemma Sorry getting back hope youre keeping well We couldnt unlxe2x80xa6 httpstcolAP21xsGfW
193,bpetsie7 HI Peter youd like messaging team It may specialisedxe2x80xa6 httpstcomENsjqx56Z
194,bSaunders5280 You find billing days work link John httpstco52TeyX7qlq Andxe2x80xa6 httpstcodNXclN2LO0
195,bCJ_Marston Connor already registered applied Have used activation link Nikki
196,bMarcfasting Of course And theres absolutely apologise Our team try anxe2x80xa6 httpstcoPUWDVxf9Od
197,bMarcfasting Were replying live Twitter viewing threads like afraid Hence itxe2x80xa6 httpstcoeJE8RJCPuV
198,bNAZIR_A_NAJI We speak well send funds back security reasons You get inxe2x80xa6 httpstcoiMQyAImzXR
199,bCraigHayes6 Craig nnIll take You certainly find rights also raise axe2x80xa6 httpstcoxmsiMfK9y9
200,bMarcfasting Marc tweet wasnt ignored The team lots work right take somexe2x80xa6 httpstco7gWj7ixqCl
201,bssbib85 something weve set due current situation Were dealing much higher call voxe2x80xa6 httpstcobct3EgxrLP
202,bNAZIR_A_NAJI Ive replied message Nazir Cass
203,bNAZIR_A_NAJI You request transfer credit balance back bank account online save youxe2x80xa6 httpstcovp6qAYBPqe
204,bkevsilverfox Kevin doesnt look like thats picked Bear Ill pop reply Nikki
205,bMattAtk81372204 It would Matt Nikki
206,bD_Griffiths96 Were dealing many disputes moment taking little bit longer usual txe2x80xa6 httpstcoufMQr2SAsZ
207,bD_Griffiths96 Were dealing many disputes moment taking little bit longer usual txe2x80xa6 httpstcoqHdSxKqA9N
208,bRT BarclaysUK Wexe2x80x99ve kickstarted donation xc2xa31 million wexe2x80x99ll match donation pennyforpenny poundforpound oxe2x80xa6
209,bstulcfc help get new card ordered send name postcode phone number Cass
210,bMissusGT Ashleigh Sorry getting back hope youre keeping well appreciate thexe2x80xa6 httpstco8RcnPkZtCz
211,bMattAtk81372204 Hey Matt take five working days process credit balance refund Cass
212,bbikerbabe108sc1 theres form complete request credit balance refund httpstco60fqQbnoLJ Cass
213,bamcshane123 Ashley application completed online would received due numxe2x80xa6 httpstcoWOVrUKdD0U
214,bPropel2Steve understand Were 247 get back soon Lisa
215,b_Aam1r Our telephone teams really busy moment theyre working extremelyxe2x80xa6 httpstcoNSNZOU3wXb
216,bMichael98859819 Michael Our telephone teams really busy moment theyre workinxe2x80xa6 httpstcoAnitMDgEJE
217,bMSpill01 Marie able log account online send secure message well getxe2x80xa6 httpstcogn0BzcZ07w
218,bLT_Bowen Sorry couldnt help Lee Give shout could help anything else though xf0x9fx98x8a Rach
219,bBhavna68681162 With global restrictions place teams arent available others functionxe2x80xa6 httpstcoI8Gmuljr2E
220,bfiona2608 Fiona wait ask reason youre trying get touch please Ill see wexe2x80xa6 httpstcoj0zuzEKIvG
221,bSophiakhan11K Sophie hold long wish raise complaint canxe2x80xa6 httpstcotdXFDQfH6N
222,btallybookbinder long wait Its great hear got one amazing memxe2x80xa6 httpstcoBov332MJth
223,bAnnetteHenders2 letting know Ross
224,bStormtrooper73 Hey Gordon global situation busier usual take staff health cxe2x80xa6 httpstcoHPqd2Npzuy
225,blobsta28 Fantastic news thanks letting know Give shout anything else Lisa
226,bMikeyreynolds01 Which form online advised compete Also able fill submit okay Rach
227,brugby_bears hear hope managed speak someone please let knowxe2x80xa6 httpstcoc6IjMISz2y
228,bBingman1 Richard Our telephone teams really busy moment theyre working hardxe2x80xa6 httpstcolcvRJYufwM
229,bemilyoflanagan Emily working lot applications moment touch soon Lisa
230,bBiggsRicoLA Sorry hear Is debit credit card Also check account UK Lisa
231,bmarkrowney Mark global restrictions place teams arent available others funcxe2x80xa6 httpstcos60VTWAA8m
232,bone_ed_young wait get speak team ask youre able toxe2x80xa6 httpstcogAwtElDpfz
233,bItsHoda wait manage speak team let know rexe2x80xa6 httpstcopg3dIJY7Wt
234,bMosPAFC Hey Matt wait receiving lot calls messages moment Can ask txe2x80xa6 httpstco5FtO1gDKrs
235,bDavid_Scarlett Hey David wait got lot customers urgently needing help moment andxe2x80xa6 httpstcoiQmhqFnRnZ
236,bDarrel76 Hello Darrel late reply wait times experienced Please come thexe2x80xa6 httpstcocFaFNHzto0
237,bladymar27418394 Theres different ways make payment view txe2x80xa6 httpstcoBiixVidv1I
238,breema_ahmed_12 Ive replied youve sent help Steven B
239,bshellywilde fugeoffugehall Ah right pending payments still leave card cancelled well includxe2x80xa6 httpstcow8tBcBaxmr
240,bPropel2Steve Steve Its great see havent able speak someone yxe2x80xa6 httpstcoxpgOyysSyu
241,bMiss_Masaya reply wait speak phone Did maxe2x80xa6 httpstcowoYoWdwpS5
242,bmikiUK Ah ok refund sent cancelled card would usually bounce back Have spoken compxe2x80xa6 httpstcohTNst0oGQU
243,bcfeefc0 confirming send secure message online account itll save waiting onxe2x80xa6 httpstcokreX6FVdT2
244,bpiekin1981 Simone certainly look help Can ask youre able log account online Youxe2x80xa6 httpstcoz2Zy4ZzQEZ
245,bArianaSpawn Arians Ive responded Kev
246,bjess_fulford xe2x80xa2Have letters repeated 2 times row eg shooopnxe2x80xa2Have 2 letters tuxe2x80xa6 httpstco3PKKIziIhS
247,bi_w____ Hello teams working fast get done With Sunday plexe2x80xa6 httpstcoHHrR8WpS0D
248,bjess_fulford Tips setting memorable wordnYour memorable word mustnxe2x80xa2Contain 68 lettersnxe2x80xa2Contain letters AZn34
249,bjess_fulford Tips setting passcodennYour passcode must benxe2x80xa26 numbers longnxe2x80xa2Contain numbers onlynxe2x80xa2Have nxe2x80xa6 httpstcoIMtiBcI9wA
250,bjess_fulford clear cache cookies retry pay close attention details whenxe2x80xa6 httpstcoODDOeuI0TI
251,bCocksy81 way hasnt working Please print form PDF follow thexe2x80xa6 httpstco4LwX20FTYI
252,bMattJMarsh Matthew wait Did send Secure Message via Online Banking team woxe2x80xa6 httpstcoUyN9Obg5RC
253,bCocksy81 see working Well pick soon possible Kev
254,bmikiUK Michele could refund credited account closed sent card yxe2x80xa6 httpstcopH6Shd93D6
255,bKimmyKimeleon Perfect Ive responded Kev
256,bincrediblebraig reply issues youve online This message gixe2x80xa6 httpstcoZ9imgZm5UG
257,bcfeefc0 Elle wait lot busier usual Can ask raised case witxe2x80xa6 httpstcoeYqdbCir5L
258,bMarinaatconduit No worries Marina Kristos
259,bJadeshort82 Jade We fewer colleagues usual answering phones right coroxe2x80xa6 httpstcoeJmw95PuDr
260,bMo_3009 Mohammed hope youre well patience difficult reduced staff increasxe2x80xa6 httpstcoAgBD4bRPK1
261,bjmrodda Great letting know Take care Amiee
262,bJake7000 Hey Jake call disconnecting long time hold Is Barcxe2x80xa6 httpstco2PBWmlmWPn
263,bAliciaGTurrell Alicia reset details online select option clear yoxe2x80xa6 httpstcoA2XJnBaEQz
264,bBacardiBoozer Katie getting back What help Ill see hoxe2x80xa6 httpstcozCUBSvtIfr
265,bLT_Bowen pleased returned account wait speak wixe2x80xa6 httpstcolCsfkMdj30
266,bmissshep1 Sarah thanks getting touch hope youre well staying safe This usual callxe2x80xa6 httpstcop5U9uDoHCL
267,bswisstoniuk would imagine would place next month youve already waiting time The teaxe2x80xa6 httpstco1XgTqIjkjp
268,bweddingsinger76 Hey apologies wait hope youre keeping well Have able get throughxe2x80xa6 httpstcoEqtRlw4G56
269,b10Dawson Hey Connor apologies wait hope youre keeping well Have able get touch withxe2x80xa6 httpstcooPxk5QCKVK
270,bsharloney Sorry cant say outcome would position make axe2x80xa6 httpstco0Eq2SoZ2gi
271,bcoombem1978 Okay thanks letting know Could please pop full name postcode Sarah
272,babdelbigmac apologise line cut Have managed speak anyone yet wasxe2x80xa6 httpstcocduc9tvhpD
273,babdelbigmac Karen teams extremely busy reduced number staff customersxe2x80xa6 httpstco3U9rkrjm1h
274,bColinMeredith52 Colin problems caused still help please send Ill haxe2x80xa6 httpstcoPlFWUr4mRi
275,bdiverbjj waiting long time phone nHave managed speak anyone yet Ifxe2x80xa6 httpstco4OiuCNQUoj
276,bdiverbjj extremely busy due reduced staff customers contacting nWere everything wxe2x80xa6 httpstcoE36MKFmyM4
277,bIf refund overpayment left credit Barclaycard request transfer UKxe2x80xa6 httpstcoAMPGTJ7aBi
278,bMikeyreynolds01 apologise hang Have managed speak anyone yet youxe2x80xa6 httpstco09lUPjo4vw
279,bMikeyreynolds01 Mike teams extremely busy reduced number staff customexe2x80xa6 httpstcoa2JCXjumIa
280,bMrsFEBlackmore Brilliant letting know Take care Amiee
281,bST03_Steve Hey Steve long wait hope youre keeping well Did manage get txe2x80xa6 httpstco3R7TJ1UZm8
282,bBiggsRicoLA Hey long wait hope youre keeping well Have able get new cardxe2x80xa6 httpstcoaMKy54gFWs
283,bWrittenMirror Hey Jay long wait hope youre keeping well Can explain message morexe2x80xa6 httpstcoolzuUfIUjx
284,blobsta28 Hey long wait hope youre keeping well Did manage speak team Ixe2x80xa6 httpstcoqCMgHchCRY
285,bNicolosoboco Hey Nick long wait hope youre keeping well We see happen often norxe2x80xa6 httpstcojtq7xB4gFZ
286,bHInterneticus see also sent got back nnChristie
287,bstacebull hear youve able get anyone still Stacey Pop let mexe2x80xa6 httpstcoIiL4hhhWnx
288,bIanTildesley Ian reply The team really busy uncommon momenxe2x80xa6 httpstcozkQXjvzrbs
289,bSanzidaa8 Id like help get right direction Is payment going company haxe2x80xa6 httpstcoiVyZxvn2vz
290,brandomJill Hey Jill long wait hope youre keeping well Did apply payment holiday atxe2x80xa6 httpstco3w8JpAhWxC
